movieId,poster_path,overview,release_year,duration,language,tmdb_rating,vote_count
9089,/3zqlKdOttWyExzopVxglz50Vjxq.jpg,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",1995,103,EN,6.284,183
577,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",1995,106,EN,6.578,812
11010,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994,109,IT,7.924,1152
10607,/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",1996,89,EN,7.033,1361
2054,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",1995,143,EN,6.97,423
11359,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,1995,96,EN,6.5,635
19760,/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",1996,96,EN,4.9,91
17182,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",1996,101,EN,6.201,407
9536,/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",1996,95,EN,4.537,374
11525,/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",1996,92,EN,3.202,156
